id,Finnkode,car_name,Link,Price,Pictures
1,341120448,Suzuki Grand Vitara,https://www.finn.no/car/used/ad.html?finnkode=341120448,69900,NULL
2,341120563,Suzuki SX4 S-Cross,https://www.finn.no/car/used/ad.html?finnkode=341120563,254900,NULL
3,341121755,Toyota RAV4,https://www.finn.no/car/used/ad.html?finnkode=341121755,104305,NULL
4,341121762,Peugeot Partner,https://www.finn.no/car/used/ad.html?finnkode=341121762,179000,NULL
5,341121522,Opel Astra,https://www.finn.no/car/used/ad.html?finnkode=341121522,144800,NULL
6,341121523,Mitsubishi Outlander,https://www.finn.no/car/used/ad.html?finnkode=341121523,269900,NULL
7,340214271,Hyundai Tucson,https://www.finn.no/car/used/ad.html?finnkode=340214271,2845,NULL
8,313246835,Opel Combo,https://www.finn.no/car/used/ad.html?finnkode=313246835,4686,NULL
9,306287400,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=306287400,4999,NULL
10,302794306,Mercedes-Benz C-Klasse,https://www.finn.no/car/used/ad.html?finnkode=302794306,4999,NULL
11,295851273,Audi A6,https://www.finn.no/car/used/ad.html?finnkode=295851273,1777,NULL
12,269429344,Peugeot 607,https://www.finn.no/car/used/ad.html?finnkode=269429344,1729,NULL
13,191932657,Nissan Maxima,https://www.finn.no/car/used/ad.html?finnkode=191932657,1729,NULL
14,190912497,Nissan X-Trail,https://www.finn.no/car/used/ad.html?finnkode=190912497,1707,NULL
15,142486773,Peugeot 1007,https://www.finn.no/car/used/ad.html?finnkode=142486773,3118,NULL
16,340845032,Volvo XC 60,https://www.finn.no/car/used/ad.html?finnkode=340845032,9499,NULL
17,340246155,Hyundai Getz,https://www.finn.no/car/used/ad.html?finnkode=340246155,8900,NULL
18,339472197,Mercedes-Benz C-Klasse,https://www.finn.no/car/used/ad.html?finnkode=339472197,7000,NULL
19,338637053,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=338637053,9900,NULL
20,338628534,Citroen C5,https://www.finn.no/car/used/ad.html?finnkode=338628534,10000,NULL
21,338516257,Audi A4,https://www.finn.no/car/used/ad.html?finnkode=338516257,9900,NULL
22,336590906,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=336590906,9990,NULL
23,336089228,Mercedes-Benz E-Klasse,https://www.finn.no/car/used/ad.html?finnkode=336089228,10000,NULL
24,328873302,Smart Forfour,https://www.finn.no/car/used/ad.html?finnkode=328873302,10000,NULL
25,326581266,Hyundai Getz,https://www.finn.no/car/used/ad.html?finnkode=326581266,6999,NULL
26,326163471,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=326163471,9999,NULL
27,325586826,Peugeot Partner,https://www.finn.no/car/used/ad.html?finnkode=325586826,6186,NULL
28,323307060,Volvo S80,https://www.finn.no/car/used/ad.html?finnkode=323307060,9900,NULL
29,322624064,Toyota Corolla,https://www.finn.no/car/used/ad.html?finnkode=322624064,9999,NULL
30,317512983,Renault Kangoo,https://www.finn.no/car/used/ad.html?finnkode=317512983,7186,NULL
31,312416240,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=312416240,9800,NULL
32,308096688,Opel Corsa,https://www.finn.no/car/used/ad.html?finnkode=308096688,6999,NULL
33,306412306,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=306412306,9999,NULL
34,299261308,Suzuki Grand Vitara,https://www.finn.no/car/used/ad.html?finnkode=299261308,10000,NULL
35,295670731,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=295670731,9999,NULL
36,293419507,Volkswagen Polo,https://www.finn.no/car/used/ad.html?finnkode=293419507,6777,NULL
37,340998188,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=340998188,11231,NULL
38,340900791,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=340900791,13845,NULL
39,340887706,Hyundai i30,https://www.finn.no/car/used/ad.html?finnkode=340887706,11845,NULL
40,340417958,Citroen Berlingo,https://www.finn.no/car/used/ad.html?finnkode=340417958,13000,NULL
41,340843847,Opel Vectra,https://www.finn.no/car/used/ad.html?finnkode=340843847,14900,NULL
42,340572987,Ford Ka,https://www.finn.no/car/used/ad.html?finnkode=340572987,14900,NULL
43,340545801,Subaru Impreza,https://www.finn.no/car/used/ad.html?finnkode=340545801,15000,NULL
44,340344685,Ford Fiesta,https://www.finn.no/car/used/ad.html?finnkode=340344685,13845,NULL
45,340332504,Honda Civic,https://www.finn.no/car/used/ad.html?finnkode=340332504,12500,NULL
46,340217345,Ford Focus,https://www.finn.no/car/used/ad.html?finnkode=340217345,12000,NULL
47,340070645,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=340070645,12000,NULL
48,339707221,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=339707221,12990,NULL
49,339445237,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=339445237,14900,NULL
50,339325528,Mazda 6,https://www.finn.no/car/used/ad.html?finnkode=339325528,11845,NULL
51,339218905,Nissan Qashqai,https://www.finn.no/car/used/ad.html?finnkode=339218905,15000,NULL
52,339186258,Ford Transit Connect,https://www.finn.no/car/used/ad.html?finnkode=339186258,11231,NULL
53,339173613,Skoda Fabia,https://www.finn.no/car/used/ad.html?finnkode=339173613,14900,NULL
54,338668549,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=338668549,13845,NULL
55,338628651,Citroen Jumpy,https://www.finn.no/car/used/ad.html?finnkode=338628651,15000,NULL
56,338499955,Toyota Yaris Verso,https://www.finn.no/car/used/ad.html?finnkode=338499955,12000,NULL
57,338487126,Skoda Fabia,https://www.finn.no/car/used/ad.html?finnkode=338487126,12000,NULL
58,338409566,Opel Vectra,https://www.finn.no/car/used/ad.html?finnkode=338409566,11880,NULL
59,335952689,Volvo S80,https://www.finn.no/car/used/ad.html?finnkode=335952689,12345,NULL
60,337370327,Toyota Aygo,https://www.finn.no/car/used/ad.html?finnkode=337370327,13000,NULL
61,337200969,Ford S-MAX,https://www.finn.no/car/used/ad.html?finnkode=337200969,15000,NULL
62,335892487,Volvo V70,https://www.finn.no/car/used/ad.html?finnkode=335892487,14845,NULL
63,332526123,Mitsubishi Colt,https://www.finn.no/car/used/ad.html?finnkode=332526123,13777,NULL
64,330636145,Citroen C1,https://www.finn.no/car/used/ad.html?finnkode=330636145,14900,NULL
65,329962747,Volkswagen,https://www.finn.no/car/used/ad.html?finnkode=329962747,13000,NULL
66,328749231,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=328749231,11777,NULL
67,327965364,Saab 9-3,https://www.finn.no/car/used/ad.html?finnkode=327965364,12000,NULL
68,236024956,Chrysler Voyager,https://www.finn.no/car/used/ad.html?finnkode=236024956,12000,NULL
69,325881927,Peugeot 407,https://www.finn.no/car/used/ad.html?finnkode=325881927,11277,NULL
70,324810711,Subaru Legacy,https://www.finn.no/car/used/ad.html?finnkode=324810711,11777,NULL
71,323734059,Opel Zafira,https://www.finn.no/car/used/ad.html?finnkode=323734059,12000,NULL
72,322623632,Nissan Serena,https://www.finn.no/car/used/ad.html?finnkode=322623632,14999,NULL
73,322623878,Toyota Corolla,https://www.finn.no/car/used/ad.html?finnkode=322623878,11999,NULL
74,321179229,Chrysler Grand Voyager,https://www.finn.no/car/used/ad.html?finnkode=321179229,11186,NULL
75,317723015,Mitsubishi Grandis,https://www.finn.no/car/used/ad.html?finnkode=317723015,14900,NULL
76,317631626,Ford S-MAX,https://www.finn.no/car/used/ad.html?finnkode=317631626,11777,NULL
77,308729745,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=308729745,14777,NULL
78,306325555,Ford Focus,https://www.finn.no/car/used/ad.html?finnkode=306325555,14000,NULL
79,306114914,Toyota Yaris Verso,https://www.finn.no/car/used/ad.html?finnkode=306114914,11999,NULL
80,299707430,Opel Astra,https://www.finn.no/car/used/ad.html?finnkode=299707430,15000,NULL
81,292341169,Mitsubishi Colt,https://www.finn.no/car/used/ad.html?finnkode=292341169,14999,NULL
82,182119041,Peugeot 307,https://www.finn.no/car/used/ad.html?finnkode=182119041,14900,NULL
83,112044891,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=112044891,11569,NULL
84,341133137,Mercedes-Benz B-Klasse,https://www.finn.no/car/used/ad.html?finnkode=341133137,17845,NULL
85,341066507,Toyota Corolla,https://www.finn.no/car/used/ad.html?finnkode=341066507,19990,NULL
86,340060590,Mazda 2,https://www.finn.no/car/used/ad.html?finnkode=340060590,19345,NULL
87,340972845,Toyota Aygo,https://www.finn.no/car/used/ad.html?finnkode=340972845,19900,NULL
88,340897417,Subaru Justy,https://www.finn.no/car/used/ad.html?finnkode=340897417,16845,NULL
89,340893279,Honda Civic,https://www.finn.no/car/used/ad.html?finnkode=340893279,19000,NULL
90,340888770,Mitsubishi Colt,https://www.finn.no/car/used/ad.html?finnkode=340888770,18000,NULL
91,340883353,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=340883353,19074,NULL
92,340881913,Kia Cee'd,https://www.finn.no/car/used/ad.html?finnkode=340881913,19845,NULL
